name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,autoFireAccBonus,extraArcForAI,hints,tags,GroupTag,tech/manufacturer,,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
Light Shock Mitrailleuse,kyeltziv_shockMitrailleuseLight,,,,650,,45,10,4,10,,8,,,KINETIC,35,,0,5.45,8,0.05,12,20,1,4,,900,,,20,,,"SYSTEM, STRIKE, USE_VS_FRIGATES, SHOW_IN_CODEX",codex_require_related,MITRAILLEUSE_ONLY,Kyeltziv Technocracy,,Anti Shield,,,,,"Hits on armor and hull have a %s chance to generate an EMP arc, dealing %s and %s damage. Chance scales with target's flux level.",10-30% | 10 Energy | 20 EMP,,,,11330
Halke Anti-Ship Missile (Single),kyeltziv_halke_single,,,,1000,,800,,30,10,,1,,,HIGH_EXPLOSIVE,,,0,4,1,,,,,,,350,100,10,250,,,"SYSTEM, STRIKE, USE_VS_FRIGATES, SHOW_IN_CODEX",codex_require_related,,Kyeltziv Technocracy,,Finisher,Medium,Medium,,,Each missile deals an additional %s damage to armor. This damage is not reduced by armor.,120,,,TRUE,11331
Shock Jezzail,kyeltziv_shock_jezzail,,,,700,,65,10,4,12,,,,,KINETIC,60,,0,1.5,1,,1,7,1,10,,900,,,20,,,"SYSTEM, PD, PD_ALSO, SHOW_IN_CODEX",codex_require_related,,Kyeltziv Technocracy,,Anti Shield,,,,,"Hits on armor and hull have a %s chance to generate an EMP arc, dealing %s and %s damage. Chance scales with target's flux level.",10-30% | 10 Energy | 20 EMP,,,,11332
Mauste Fusion XLRM,kyeltziv_mauste,,,,5000,,540,,36,10,,20,0.111111,2,HIGH_EXPLOSIVE,,,0,4.5,2,1.5,0,0,0,0,,150,120,30,150,,,"SYSTEM, DO_NOT_AIM, CONSERVE_1, DIRECT_AIM, MISSILE_SPREAD, SHOW_IN_CODEX",codex_require_related,,Kyeltziv Technocracy,,Anti Armor (Suppression),Slow,Poor,,,"Each of the final projectiles has a %s chance to detonate on impact, dealing an additional %s damage.",20% | 30 Energy,,,,11333
Light Shock Springald,kyeltziv_springald_light,,,,700,,90,100,8,16,,,,,ENERGY,144,,0.2,1.8,1,,6,14,2,6,,650,,,20,,,"SYSTEM, SHOW_IN_CODEX",codex_require_related,,Kyeltziv Technocracy,,Suppression,,,,,"Hits will generate %s EMP arcs, each dealing %s and %s damage. The number of arcs scales with target's flux level.
Arcs can pierce Shields, but arc damage is halved when doing so.",0-3 | 25 Energy | 50 EMP,,,,11334
Micro Stutter Beam,kyeltziv_microStutter,,,,600,175,,,0,100,,4,1,2,ENERGY,,20,0,0,0.2,0.15,,,,,800000,,,,,,,"SYSTEM, PD, ANTI_FTR, SHOW_IN_CODEX",codex_require_related,,Kyeltziv Technocracy,,Point Defense,,,,,,,,,,11335
Short-Spool Shock-Driver,kyeltziv_light_shock_driver_sym_l,,,,1000,,300,50,150,5,,,,,KINETIC,360,,0.6,1.9,1,,,,,,,900,500,9,240,,5,"SYSTEM, GUIDED_POOR, DIRECT_AIM, SHOW_IN_CODEX",codex_require_related,SHOCK_DRIVER_ONLY,Kyeltziv Technocracy,,Bombardment,Very Fast,Poor,,,"Hits on shield cause the round's shock core to overload, dealing %s damage.
Hits on armor and hull will generate %s EMP arcs, each dealing %s and %s damage. The number of arcs scales with target's flux level.",75 Energy | 0-3 | 50 Energy | 75 EMP,Projectile tracking is enhanced by the installation of %s or by any other source of improved %s maneuverability.,ECCM | Missile,,11335
Short-Spool Shock-Driver,kyeltziv_light_shock_driver_sym_r,,,,1000,,300,50,150,5,,,,,KINETIC,360,,0.6,1.9,1,,,,,,,900,500,9,240,,5,"SYSTEM, GUIDED_POOR, DIRECT_AIM, SHOW_IN_CODEX",codex_require_related,SHOCK_DRIVER_ONLY,Kyeltziv Technocracy,,Bombardment,Very Fast,Poor,,,"Hits on shield cause the round's shock core to overload, dealing %s damage.
Hits on armor and hull will generate %s EMP arcs, each dealing %s and %s damage. The number of arcs scales with target's flux level.",75 Energy | 0-3 | 50 Energy | 75 EMP,Projectile tracking is enhanced by the installation of %s or by any other source of improved %s maneuverability.,ECCM | Missile,,11336
Fusion Mitrailleuse,kyeltziv_fusionMitrailleuse,,,,500,,50,,4,20,,,,,HIGH_EXPLOSIVE,40,,0.1,5.35,12,0.05,6,18,1,6,,800,,,10,,,"SYSTEM, SHOW_IN_CODEX",codex_require_related,,Kyeltziv Technocracy,,Anti Armor,,,,,"Each projectile has a %s chance to detonate on impact, dealing an additional %s damage.",20% | 25 Energy,,,,11337
Railgun (Drone),kyeltziv_railgunDrone,,,,700,,90,,10,30,,,,,KINETIC,81,,0.6,0.65,1,,0,4,1,8,,1000,,,50,,,"SYSTEM, SHOW_IN_CODEX",codex_require_related,,Kyeltziv Technocracy,,Anti Shield,,,,,,,,,,11338
Pieni PD Beam,kyeltziv_pieni,,,,500,450,,,0,100,,,,,ENERGY,,0,0.1,0.1,0.2,1.6,,,,,100000,,,,,,,"SYSTEM,PD,ANTI_FTR, SHOW_IN_CODEX",codex_require_related,,Remnant,,Point Defense,,,,,,,,,,11339
Perennis Shock Missile Pod,kyeltziv_perennis_pod_plat,,,,1200,,100,20,10,50,,10,0.3,2,ENERGY,,,0,2.25,2,0.25,,,,,,750,100,4,60,,,"SYSTEM,ANTI_FTR, DO_NOT_AIM, DO_NOT_CONSERVE",,,Kyeltziv Technocracy,,Anti Small Craft,Very Fast,Good,,,"Hits on armor and hull have two %s chances to generate EMP arcs, each dealing %s and %s damage. Chance scales with target's flux level.",10-50% | 20 Energy | 30 EMP,,,,11340
Compact Shock-Driver,kyeltziv_compact_shock_driver_plat,,,,1000,,200,100,100,32,,,,,KINETIC,300,,0.4,1.6,1,,,,,,,850,450,9,200,,5,"SYSTEM, GUIDED_POOR, DIRECT_AIM, NO_TURN_RATE_BOOST_WHEN_IDLE",,,Kyeltziv Technocracy,,Bombardment,Very Fast,Poor,,,"Hits on shield cause the round's shock core to overload, dealing %s damage.
Hits on armor and hull will generate %s EMP arcs, each dealing %s and %s damage. Number of arcs scales with target's flux level.",80 Energy | 1-4 | 50 Energy | 150 EMP,Projectile tracking is enhanced by the installation of %s or by any other source of improved %s maneuverability.,ECCM | Missile,,11341
Fusion Houfnice,kyeltziv_fusionHoufnice_plat,,,,900,,160,,10,32,,,,,HIGH_EXPLOSIVE,200,,0,1.5,1,,4,14,2,8,,650,,,30,,,"SYSTEM, NO_TURN_RATE_BOOST_WHEN_IDLE",,,Kyeltziv Technocracy,,Anti Armor,,,,,Each projectile has a %s chance to detonate on impact dealing an additional %s damage.,20% | 80 Energy,,,,11342
Vedha Pulse Rocket Pod,kyeltziv_vedha_pod_plat,,,,2500,,80,,10,32,,,,,ENERGY,20,,0,9.3,10,0.3,,,,,,600,80,6.5,70,,,"SYSTEM, DO_NOT_AIM, DIRECT_AIM, MISSILE_SPREAD, NO_TURN_RATE_BOOST_WHEN_IDLE",,,Kyeltziv Technocracy,,Fire Support,Very Fast,Medium,,,On impact increases the targets soft flux level by %s.,40,,,,11343
Light Packet Cycler,kyeltziv_packet_light,,,,500,,30,,3,30,,24,1.5,3,ENERGY,24,,0,0.1,1,,5,14,1,7,,1000,,,10,,,"SYSTEM, SHOW_IN_CODEX",codex_require_related,,Kyeltziv Technocracy,,Assault,,,,,Each projectile deals an additional %s damage to armor. This damage is not reduced by armor.,12,,,,11344
Light ESP Beam,kyeltziv_esp_beam_light,,,,800,225,,150,6,40,5,,,,ENERGY,,247.5,0.1,0.2,0.3,0.65,,,,,800000,,,,,,,"SYSTEM, SHOW_IN_CODEX",codex_require_related,,Kyeltziv Technocracy,,General,,,,,The charge carried by the beam slows the target and hampers their ability to turn.,,,,,11346
Shrapnel-Driver,kyeltziv_driver_shrap,,,,800,,100,,10,5,,,,,FRAGMENTATION,33,,0.7,2,1,,15,21,3,3,,800,,,20,,7,"SYSTEM, SHOW_IN_CODEX, PD, PD_ALSO",codex_require_related,SHRAP_DRIVER_ONLY,Pirate,,General,,,,Spread,,,,,,11347
Swarmer SRM Pod,kyeltziv_med_swarmer_p,,,,1000,,100,,15,0,,30,0.4,2,HIGH_EXPLOSIVE,0,,0,3.6,3,0.2,0,0,0,0,,300,100,5,50,,,"SYSTEM, ANTI_FTR, DO_NOT_AIM, DO_NOT_CONSERVE, SHOW_IN_CODEX",codex_require_related,,,,Anti Small Craft,Fast,Excellent,,,,,,,,11348
Linear Osteotome,kyeltziv_osteotome,,,,900,,480,,100,0,,,,,KINETIC,640,,0.5,2.5,1,,0,0,0,0,,1250,,,100,,,"SYSTEM, SHOW_IN_CODEX",codex_require_related,,Kyeltziv Technocracy,,Anti Shield,,,,,"Hits on shield increase the target ships soft flux by %s.
Each projectile deals an additional %s damage to armor. This damage is not reduced by armor.",600 | 100,,,,11349
Trocar Arc Coil,kyeltziv_trocar,,,,1200,,800,3000,200,0,,3,0.05,1,ENERGY,0,,0,5,1,,0,0,0,0,,300,90,20,500,,,"SYSTEM, DO_NOT_AIM, DANGEROUS, SHOW_IN_CODEX",codex_require_related,,Kyeltziv Technocracy,,Disruption,Medium,Good,,,"On proximity to its target the projectile will fire a volley of EMP arcs.
As well as dealing damage each arc will increase the target ships flux level by %s.
Arcs can pierce Shields, with the chance based on the target's hard flux level.",40,,,TRUE,11350
Bistoury Cutting Beam,kyeltziv_bistoury,,,,400,200,,,0,180,,,,,ENERGY,,40,0,0,0.25,0.25,,,,,800000,,,,,,,"SYSTEM,PD,ANTI_FTR,IGNORES_FLARES, SHOW_IN_CODEX",codex_require_related,,Kyeltziv Technocracy,,Point Defense,,,,,,,,,,11351
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
### System/etc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siren Pattern Flare Launcher (Single),kyeltziv_siren_flare_launcher_s,,,,800,,25,400,4,1,,,,,ENERGY,0,,0,1,1,,60,60,0,0,,400,200,8,10,,,SYSTEM,,,,,,,,,,,,,,,11401
Siren Pattern Flare Launcher,kyeltziv_siren_flare_launcher,,,,800,,25,400,4,1,,,,,ENERGY,0,,0,1,2,0.2,60,60,0,0,,400,200,8,10,,,SYSTEM,,,,,,,,,,,,,,,11402
Smart Chaff Dispenser,kyeltziv_chaff_dispenser,,,,400,,5,20,1,1,,,,,FRAGMENTATION,0,,0,1,7,0.1,60,60,0,0,,200,100,4,200,,,SYSTEM,,,,,,,,,,,,,,,11403
Smart Chaff Cover,kyeltziv_chaff_cover,,,,400,,5,20,1,1,,,,,FRAGMENTATION,0,,0,1,4,1.5,30,30,0,0,,200,100,5,200,,,SYSTEM,,,,,,,,,,,,,,,11404
Smart Chaff (Single),kyeltziv_chaff_single,,,,400,,5,20,1,1,,,,,FRAGMENTATION,0,,0,1,1,,30,30,0,0,,200,100,4,200,,,SYSTEM,,,,,,,,,,,,,,,11405
Smart Chaff (Garaj),kyeltziv_chaff_garaj,,,,800,,5,20,1,1,,,,,FRAGMENTATION,0,,0,1,1,,30,30,0,0,,200,120,4,200,,,SYSTEM,,,,,,,,,,,,,,,11406
Shock Minelayer,kyeltziv_minelayer,,,,1000,,500,200,25,1,,,,,ENERGY,0,,0,3,1,,0,0,0,0,,70,50,20,220,,,SYSTEM,,,,,,,,,,,,,,,11407
Shock Mine EMP Proj,kyeltziv_mine_shock_proj,,,,200,,40,200,1,1,,,,,ENERGY,0,,0,1,1,,0,0,0,0,,1600,,,10,,,SYSTEM,,,,,,,,,,,,,,,11407.1
Siren Pattern Flare Launcher (Single),kyeltziv_siren_flare_launcher_s_drone,,,,800,,25,400,4,1,,3,0.033333,1,ENERGY,0,,0,7.5,1,,60,60,0,0,,400,200,8,10,,,"SYSTEM, PD, PD_ONLY, DO_NOT_AIM, DO_NOT_CONSERVE",,,Kyeltziv Technocracy,,Anti Missile,,,,,,,,,,11408
Siren Pattern Flare Launcher,kyeltziv_siren_flare_launcher_drone,,,,800,,25,400,4,1,,6,0.066666,2,ENERGY,0,,0,7.3,2,0.2,60,60,0,0,,400,200,8,10,,,"SYSTEM, PD, PD_ONLY, DO_NOT_AIM, DO_NOT_CONSERVE",,,Kyeltziv Technocracy,,Anti Missile,,,,,,,,,,11409
Flare Port,kyeltziv_flare_port,,,,400,,10,100,1,1,,6,0.15,,ENERGY,0,0,0,1,1,,60,60,0,0,,150,300,3,1,,,"SYSTEM, PD, PD_ONLY, DO_NOT_AIM, DO_NOT_CONSERVE",,,,,,,,,,,,,,,11410
Canister Flak,kyeltziv_canister_flak,,,,300,,200,,,,,,0,,HIGH_EXPLOSIVE,0,0,0,0.1,7,0.5,150,150,0,0,,65,250,3,100,,,SYSTEM,,,,,,,,,,,,,,,11411
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
### MIRV/Script/Etc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Discharger Jet 1,kyeltziv_light_discharger_jet_1,,,,350,,30,,1,1,,,,,ENERGY,,,0,1,1,,,,,,,1400,,,5,,,"SYSTEM, PD",,,,,,,,,,,,,,,11509.1
Discharger Jet 3,kyeltziv_light_discharger_jet_3,,,,350,,30,,1,1,,,,,ENERGY,,,0,1,1,,,,,,,1600,,,5,,,"SYSTEM, PD",,,,,,,,,,,,,,,11509.3
Heavy Discharger Jet 1,kyeltziv_heavy_discharger_jet_1,,,,450,,30,,1,1,,,,,ENERGY,,,0,1,1,,,,,,,1350,,,5,,,"SYSTEM, PD",,,,,,,,,,,,,,,11510.1
Heavy Discharger Jet 2,kyeltziv_heavy_discharger_jet_2,,,,450,,30,,1,1,,,,,ENERGY,,,0,1,1,,,,,,,1425,,,5,,,"SYSTEM, PD",,,,,,,,,,,,,,,11510.2
Heavy Discharger Jet 4,kyeltziv_heavy_discharger_jet_4,,,,450,,30,,1,1,,,,,ENERGY,,,0,1,1,,,,,,,1575,,,5,,,"SYSTEM, PD",,,,,,,,,,,,,,,11510.4
Heavy Discharger Jet 5,kyeltziv_heavy_discharger_jet_5,,,,450,,30,,1,1,,,,,ENERGY,,,0,1,1,,,,,,,1650,,,5,,,"SYSTEM, PD",,,,,,,,,,,,,,,11510.5
Lorentz Fragment,kyeltziv_lorentz_fragment,,,,800,,25,5,3,1,,,,,KINETIC,,,0,1,1,,,,,,,1000,,,5,,,SYSTEM,,,,,,,,,,,,,,,11512
Mauste Fusion XLRM Sub,kyeltziv_mauste_sub,,,,1600,,180,,12,1,,,,,HIGH_EXPLOSIVE,,,0,1,1,,,,,,,250,120,5,60,,,"SYSTEM, DIRECT_AIM, MISSILE_SPREAD",,,Kyeltziv Technocracy,,Anti Armor (Suppression),Slow,Poor,,,,,,,,11515
Bellis Canister Sub,kyeltziv_bellis_pod_sub,,,,800,,160,,5,20,,,,,FRAGMENTATION,,,0,1,1,,,,,,,450,150,12,50,,,"SYSTEM, MISSILE_SPREAD",,,Kyeltziv Technocracy,,Anti Fighter,Fast,Excellent,,,,,,,,11516
Shock Avtomat Drumfire Sub,kyeltziv_shock_avtomat_drum,,,,800,,35,5,2,50,,,,,KINETIC,4,,0,0.25,1,,0,7,1,10,,700,,,10,,,SYSTEM,,,,,,,,,,,,,,,11517
Latched Trocar Limpet,kyeltziv_trocar_latch,,,,1200,,240,900,40,0,,,,,ENERGY,0,,0,1,1,,0,0,0,0,,300,90,8,500,,,"SYSTEM, DO_NOT_AIM, DANGEROUS",,,Kyeltziv Technocracy,,Disruption,Medium,Good,,,,,,,,11320
