name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,hints,tags,logistics n/a reason,rarity,breakProb,minPieces,maxPieces,number
Narva,kyeltziv_narva,Carrier,Kyeltziv Technocracy,kyeltziv_sorkkia_4,25,9000,1200,14000,,550,235,3,40,25,15,8,8,2500,FRONT,,70,0.6,0.7,,,320,640,250,250,10,25,8,300000,3,15,600,0.25,40,40,CARRIER,"rare_bp, merc, hist3t",,0.9,0.6,2,4,11502
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# [ Station ],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orbital Station,kyeltziv_station_1,Orbital Station,,,100,36000,1750,1000,2500,100,0,,30,200,200,4,2,5000,NONE,,0,0,0,,,0,0,0,0,1,0,0,500000,10,10,,,50,50,"STATION, UNBOARDABLE",,,,0,,,11601
Battlestation,kyeltziv_station_2,Battlestation,,,200,72000,2200,1000,2500,100,0,,30,200,200,4,2,5000,NONE,,0,0,0,,,0,0,0,0,1,0,0,500000,10,10,,,75,50,"STATION, UNBOARDABLE",codex_unlockable,,,0,,,11602
Star Fortress,kyeltziv_station_3,Star Fortress,,kyeltziv_drone_station,400,145000,2750,1000,2500,100,0,,30,200,200,4,2,5000,NONE,,0,0,0,,,0,0,0,0,1,0,0,500000,10,10,,,100,50,"STATION, UNBOARDABLE",codex_unlockable,,,0,,,11603
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,kyeltziv_station_module_main,Heavy Combat Module,,kyeltziv_stSpotter_2,1,45000,2000,30000,31250,1200,1000,1,0,0,0,10,10,3500,FRONT,,90,0.4,0.9,,,0,0,0,0,1,0,,500000,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX, ALWAYS_PANIC",,,,0.5,2,4,11604
,kyeltziv_station_module_main_3,Heavy Combat Module,,kyeltziv_stSpotter_3,1,45000,2000,30000,31250,1200,1000,1,0,0,0,10,10,3500,FRONT,,90,0.4,0.9,,,0,0,0,0,1,0,,500000,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX, ALWAYS_PANIC",,,,0.5,2,4,11604.1
,kyeltziv_station_module_end,Light Support Module,,kyeltziv_stTargeting,1,12000,1650,10000,10000,400,1000,1,0,0,0,10,10,240,FRONT,,220,0.4,0.9,,,0,0,0,0,1,0,,500000,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX, ALWAYS_PANIC",,,,1,2,2,11605
,kyeltziv_station_module_end_3,Light Support Module,,kyeltziv_stTargeting,1,12000,1650,10000,10000,400,1000,1,0,0,0,10,10,240,FRONT,,220,0.4,0.9,,,0,0,0,0,1,0,,500000,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX, ALWAYS_PANIC",,,,1,2,2,11605.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,kyeltziv_station_blocker,Station Structural Spur,,,1,4500,1650,1000,2500,100,0,,0,0,0,10,10,300,NONE,,0,0,0,,,0,0,0,0,1,0,,500000,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX, MODULE",,,,1,2,3,11606
,kyeltziv_station_armour_small,Station Armour,,,1,4500,1650,0,2500,100,0,,0,0,0,10,10,300,NONE,,0,0,0,,,0,0,0,0,1,0,,500000,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX, MODULE",module_hull_bar_only,,,1,2,3,11607
,kyeltziv_station_armour_large,Station Armour,,,1,8000,1650,0,2500,100,0,,0,0,0,10,10,400,NONE,,0,0,0,,,0,0,0,0,1,0,,500000,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX, MODULE",module_hull_bar_only,,,1,2,3,11608
,kyeltziv_station_armour_large2,Station Armour,,,1,8500,1650,0,2500,100,0,,0,0,0,10,10,400,NONE,,0,0,0,,,0,0,0,0,1,0,,500000,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX, MODULE",module_hull_bar_only,,,1,2,3,11608.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,kyeltziv_station_under_tip,Station Extension,,,1,4500,1650,0,2500,100,0,,0,0,0,10,10,300,NONE,,0,0,0,,,0,0,0,0,1,0,,500000,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX, MODULE",,,,1,2,3,11609
