name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,autofireAccBonus,extraArcForAI,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
#System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flux Shunt,flux_shunt_ix,,,0,0,,0,,0,0,,,,,ENERGY,,0,0,10,20,0.04,,,,,,500,500,0,50,,,SYSTEM,hide_in_codex,,,,Special,,,,,,,,,,1
Shield Vent,flux_shunt_tw,,,0,0,,0,,0,0,,,,,ENERGY,,0,0,10,40,0.04,,,,,,500,500,0,50,,,SYSTEM,hide_in_codex,,,,Special,,,,,,,,,,1
Interdictor Pulse Emitter,interdictor_pulse_ix,,,0,4000,,1,,,10,,1,0.1,,KINETIC,0,,0,0,2,0.1,,,,,,100,0,0.1,500,,,SYSTEM,,,,,,,,,,,,,,,41.1
    Interdictor Payload,interdictor_payload_ix,,,0,4000,2970,,,,10,,1,,,KINETIC,0,,0,0.33,0.9,,,,,,1000000,,,,,,,SYSTEM,fires_one_burst,,,,,,,,,,,,,TRUE,41.2
    Interdictor Deco Laser,interdictor_deco_laser_ix,,,0,1,1,,,,,,,,,ENERGY,,,0,0.1,,,,,,,1000000,,,,,,,SYSTEM,,,,,,,,,,,,,,,
Iconoclast Interdictor Array,interdictor_iris_ix,,,0,1000,1980,,,,10,,1,0.05,1,KINETIC,0,2230,0,0.33,0.9,12.77,,,,,1000000,,,,,,,"SYSTEM, STRIKE, USE_VS_FRIGATES, SHOW_IN_CODEX","beam20, kinetic20, LR",,IX Battlegroup,,Special,,,,,"Disrupts the target's drive field, disabling a random number of engines for a short time.",,,,,41.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Deco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Immanence Engine Glow,immanence_engine_deco_ix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,44
